aqi,co,no2,o3,pm10,pm25,so2
91.0,1.1,73.0,5.0,88.0,68.0,23.0
108.0,1.2,77.0,2.0,100.0,81.0,37.0
104.0,2.4,79.0,2.0,119.0,78.0,41.0
116.0,2.1,77.0,2.0,107.0,88.0,33.0
100.0,1.5,73.0,2.0,107.0,75.0,24.0
44.0,0.7,38.0,51.0,107.0,31.0,10.0
52.0,0.4,20.0,82.0,53.0,13.0,6.0
29.0,0.3,13.0,93.0,26.0,5.0,3.0
28.0,0.3,15.0,88.0,15.0,3.0,3.0
29.0,0.3,12.0,93.0,24.0,6.0,3.0
58.0,0.4,12.0,97.0,65.0,10.0,3.0
54.0,0.3,12.0,101.0,57.0,9.0,3.0
60.0,0.3,13.0,98.0,69.0,13.0,3.0
40.0,0.3,12.0,99.0,40.0,13.0,3.0
45.0,0.3,12.0,99.0,45.0,6.0,2.0
32.0,0.3,12.0,98.0,32.0,4.0,2.0
29.0,0.3,14.0,92.0,29.0,6.0,2.0
28.0,0.4,14.0,89.0,27.0,5.0,2.0
25.0,0.4,23.0,72.0,25.0,8.0,4.0
23.0,0.5,30.0,57.0,23.0,13.0,5.0
19.0,0.5,27.0,61.0,17.0,7.0,5.0
19.0,0.6,38.0,44.0,15.0,7.0,6.0
17.0,0.6,33.0,53.0,17.0,12.0,6.0
17.0,0.6,33.0,52.0,12.0,8.0,6.0
18.0,0.6,29.0,58.0,10.0,8.0,8.0
17.0,0.7,31.0,55.0,15.0,7.0,10.0
21.0,0.9,42.0,34.0,14.0,11.0,10.0
21.0,0.7,39.0,37.0,21.0,9.0,7.0
16.0,0.8,31.0,51.0,14.0,11.0,8.0
18.0,0.8,30.0,53.0,18.0,8.0,9.0
26.0,0.1,51.0,23.0,18.0,13.0,12.0
28.0,0.1,55.0,19.0,23.0,15.0,12.0
